Origin,Destination,Travel_Time,Travel_Minutes,Status,Timestamp
"3081HS, Rotterdam",Zeewolde,2h 24m,144,ok,2026-07-26T01:00:13.758766
"3081HS, Rotterdam",Wijk bij Duurstede,2h 4m,124,ok,2026-07-26T01:00:48.405318
"3081HS, Rotterdam",Roosendaal,1h 6m,66,ok,2026-07-26T01:01:05.609127
"3081HS, Rotterdam",Heiloo,1h 50m,110,ok,2026-07-26T01:01:22.607664
"3081HS, Rotterdam",Cuijk,3h 2m,182,ok,2026-07-26T01:01:39.581145
"3081HS, Rotterdam",Den Haag,59m,59,ok,2026-07-26T01:03:04.420413
"3081HS, Rotterdam",Geldrop-Mierlo,2h 1m,121,ok,2026-07-26T01:03:21.763730
"3081HS, Rotterdam",Goes,1h 28m,88,ok,2026-07-26T01:03:38.633074
"3081HS, Rotterdam",Laren,2h 5m,125,ok,2026-07-26T01:03:55.563031
"3081HS, Rotterdam",Valkenswaard,2h 12m,132,ok,2026-07-26T01:04:12.797848
"3081HS, Rotterdam",Oirschot,2h 15m,135,ok,2026-07-26T01:04:29.845087
"3081HS, Rotterdam",Beuningen,3h 30m,210,ok,2026-07-26T01:04:46.938291
"3081HS, Rotterdam",Leeuwarden,3h 9m,189,ok,2026-07-26T01:05:04.068655
"3081HS, Rotterdam",Franeker,3h 30m,210,ok,2026-07-26T01:05:21.124962
"3081HS, Rotterdam",Waddinxveen,1h 1m,61,ok,2026-07-26T01:05:38.329658
"3081HS, Rotterdam",Barneveld,1h 51m,111,ok,2026-07-26T01:05:55.391369
"3081HS, Rotterdam",Zevenaar,2h 4m,124,ok,2026-07-26T01:06:12.429890
"3081HS, Rotterdam",Medemblik,2h 38m,158,ok,2026-07-26T01:06:29.521509
"3081HS, Rotterdam",Leusden,1h 53m,113,ok,2026-07-26T01:06:46.514773
"3081HS, Rotterdam",Apeldoorn,1h 55m,115,ok,2026-07-26T01:07:03.602593
"3081HS, Rotterdam",Zoetermeer,58m,58,ok,2026-07-26T01:07:20.731736
"3081HS, Rotterdam",Heeze-Leende,2h 17m,137,ok,2026-07-26T01:07:37.960365
"3081HS, Rotterdam",Geertruidenberg,1h 43m,103,ok,2026-07-26T01:07:55.343591
"3081HS, Rotterdam",Zeist,1h 49m,109,ok,2026-07-26T01:08:12.283164
"3081HS, Rotterdam",Houten,1h 23m,83,ok,2026-07-26T01:08:29.229573
"3081HS, Rotterdam",Heerde,2h 38m,158,ok,2026-07-26T01:08:46.178245
"3081HS, Rotterdam",Aalten,2h 54m,174,ok,2026-07-26T01:09:03.136549
"3081HS, Rotterdam",Vlaardingen,45m,45,ok,2026-07-26T01:09:20.320555
"3081HS, Rotterdam",Weert,2h 2m,122,ok,2026-07-26T01:09:37.232863
"3081HS, Rotterdam",Oosterhout,2h 19m,139,ok,2026-07-26T01:09:54.388155
"3081HS, Rotterdam",Dordrecht,39m,39,ok,2026-07-26T01:10:11.497749
"3081HS, Rotterdam",Bergen op Zoom,1h 18m,78,ok,2026-07-26T01:10:28.848574
"3081HS, Rotterdam",Barendrecht,30m,30,ok,2026-07-26T01:10:46.069827
